

METROPOLITAN AREAS AND COMPONENTS, 1998, WITH FIPS CODES

(Metropolitan areas defined by Office of Management and Budget, 6/30/98)

Source:			U.S. Census Bureau
Internet Release date:	July 1996
Revised date:		November 3, 1998 

The file layout is located at the end of the data file.

GUIDE TO FIPS CODES:
     MSA= Metropolitan Statistical Area
     CMSA= Consolidated Metropolitan Statistical Area  
     PMSA= Primary Metropolitan Statistical Area
     ALT. CM= Alternative Consolidated Metropolitan Statistical Area
     SS= State
     CCC= County
     EEEEE= Entity (city/town)

MSA/		ALT.
CMSA	PMSA	CM	SS	CCC	F	EEEEE	Metropolitan Area and Components
1350			56	025	1		     Natrona County

1360							Cedar Rapids, IA MSA
1360			19	113	1		     Linn County

1400							Champaign-Urbana, IL MSA
1400			17	019	1		     Champaign County

1440							Charleston-North Charleston, SC MSA
1440			45	015	1		     Berkeley County
1440			45	019	1		     Charleston County
1440			45	035	1		     Dorchester County

1480							Charleston, WV MSA
1480			54	039	1		     Kanawha County
1480			54	079	1		     Putnam County

1520							Charlotte-Gastonia-Rock Hill, NC-SC MSA
1520			37	025	1		     Cabarrus County, NC
1520			37	071	1		     Gaston County, NC
1520			37	109	2		     Lincoln County, NC
1520			37	119	1		     Mecklenburg County, NC
1520			37	159	2		     Rowan County, NC
1520			37	179	2		     Union County, NC
1520			45	091	1		     York County, SC

1540							Charlottesville, VA MSA
1540			51	003	1		     Albemarle County
1540			51	065	2		     Fluvanna County
1540			51	079	2		     Greene County
1540			51	540	1		     Charlottesville city

1560							Chattanooga, TN-GA MSA
1560			13	047	1		     Catoosa County, GA
1560			13	083	2		     Dade County, GA
1560			13	295	2		     Walker County, GA
1560			47	065	1		     Hamilton County, TN
1560			47	115	2		     Marion County, TN

1580							Cheyenne, WY MSA
1580			56	021	1		     Laramie County

1602		14					Chicago-Gary-Kenosha, IL-IN-WI CMSA
